Match Day|MatchDate|Match Time(EST)|Match Time(WET)|Match Time(CET)|Match Time(EET)|Match Time(MSK)|Fixture|Stadium|Home Team|Home Goal|Home xg|Away Goal|Away xg|Away Team|Home SPI|Away SPI|Win Prob|Tie Prob|Loss Prob|Home Projected Goal|Away Projected Goal|Home nsxg|Away nsxg|Home Adjusted Goal|Away Adjusted Goal|Last Update Time|Stage|Status|State
33|2022/04/17|04/17/2022 14:00:00|04/17/2022 19:00:00|04/17/2022 20:00:00|04/17/2022 21:00:00|04/17/2022 21:00:00|Wolves vs Man City|Molineux Stadium|Wolves|none||none||Man City|71.57|93.18|0.0746|0.1815|0.7439|0.49|2.08|||||2022-04-22 18:00:03|REGULAR_SEASON|POSTPONED|
37|2022/05/15|05/15/2022 14:00:00|05/15/2022 19:00:00|05/15/2022 20:00:00|05/15/2022 21:00:00|05/15/2022 21:00:00|Southampton vs Liverpool|St. Mary's Stadium|Southampton|none||none||Liverpool|65.44|93.5|0.1044|0.1562|0.7394|0.9|2.63|||||2022-04-22 18:00:03|REGULAR_SEASON|POSTPONED|
1|2021/08/13|08/13/2021 15:00:00|08/13/2021 20:00:00|08/13/2021 21:00:00|08/13/2021 22:00:00|08/13/2021 22:00:00|Brentford vs Arsenal|Brentford Community Stadium|Brentford|2|1.41|0|1.21|Arsenal|62.47|80.58|0.224|0.2552|0.5209|0.96|1.61|1.01|2.27|2.03|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 07:30:00|08/14/2021 12:30:00|08/14/2021 13:30:00|08/14/2021 14:30:00|08/14/2021 14:30:00|Man Utd vs Leeds Utd|Old Trafford|Man Utd|5|1.42|1|0.66|Leeds Utd|85.22|71.9|0.6282|0.2096|0.1622|2.06|0.94|0.91|0.76|5.25|1.05|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Burnley vs Brighton|Turf Moor|Burnley|1|1.95|2|1.77|Brighton|64.53|73.89|0.3356|0.2757|0.3888|1.19|1.31|0.75|1.5|1.05|2.1|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Chelsea vs Crystal Palace|Stamford Bridge|Chelsea|3|1.08|0|0.36|Crystal Palace|88.33|62.22|0.7531|0.17|0.0769|2.23|0.55|1.49|0.48|3.15|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Everton vs Southampton|Goodison Park|Everton|3|2.38|1|0.62|Southampton|72.75|66.29|0.4789|0.2587|0.2624|1.56|1.08|1.35|1.07|2.87|1.05|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Leicester vs Wolves|King Power Stadium|Leicester|1|0.65|0|1.31|Wolves|77.57|70.14|0.5333|0.2512|0.2155|1.65|0.95|0.85|1.75|1.05|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Watford vs Aston Villa|Vicarage Road|Watford|3|1.17|2|1.21|Aston Villa|60.59|72.1|0.3067|0.265|0.4283|1.19|1.45|0.68|1.26|3.15|2.1|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 12:30:00|08/14/2021 17:30:00|08/14/2021 18:30:00|08/14/2021 19:30:00|08/14/2021 19:30:00|Norwich vs Liverpool|Carrow Road|Norwich|0|1.15|3|2.06|Liverpool|61.18|88.26|0.1293|0.1917|0.679|0.84|2.2|0.82|2.33|0.0|3.07|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/15|08/15/2021 09:00:00|08/15/2021 14:00:00|08/15/2021 15:00:00|08/15/2021 16:00:00|08/15/2021 16:00:00|Newcastle vs West Ham|St. James' Park|Newcastle|2|1.71|4|3.53|West Ham|66.47|73.22|0.3533|0.2526|0.3941|1.41|1.5|1.36|1.84|2.1|4.2|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
1|2021/08/15|08/15/2021 11:30:00|08/15/2021 16:30:00|08/15/2021 17:30:00|08/15/2021 18:30:00|08/15/2021 18:30:00|Spurs vs Man City|Tottenham Hotspur Stadium|Spurs|1|1.22|0|2.16|Man City|78.71|91.76|0.2239|0.2199|0.5563|1.21|2.01|0.95|2.03|1.05|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
2|2021/08/21|08/21/2021 07:30:00|08/21/2021 12:30:00|08/21/2021 13:30:00|08/21/2021 14:30:00|08/21/2021 14:30:00|Liverpool vs Burnley|Anfield|Liverpool|2|3.1|0|0.79|Burnley|88.58|63.96|0.7621|0.1552|0.0827|2.48|0.69|2.8|1.01|2.1|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
2|2021/08/21|08/21/2021 10:00:00|08/21/2021 15:00:00|08/21/2021 16:00:00|08/21/2021 17:00:00|08/21/2021 17:00:00|Aston Villa vs Newcastle|Villa Park|Aston Villa|2|1.31|0|0.77|Newcastle|71.45|64.82|0.4917|0.2403|0.268|1.75|1.24|1.21|1.07|2.1|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
2|2021/08/21|08/21/2021 10:00:00|08/21/2021 15:00:00|08/21/2021 16:00:00|08/21/2021 17:00:00|08/21/2021 17:00:00|Crystal Palace vs Brentford|Selhurst Park|Crystal Palace|0|0.6|0|0.85|Brentford|62.18|63.53|0.4091|0.2778|0.3131|1.33|1.12|0.87|0.9|0.0|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
2|2021/08/21|08/21/2021 10:00:00|08/21/2021 15:00:00|08/21/2021 16:00:00|08/21/2021 17:00:00|08/21/2021 17:00:00|Leeds Utd vs Everton|Elland Road|Leeds Utd|2|1.15|2|1.94|Everton|71.33|73.47|0.4038|0.2608|0.3354|1.45|1.3|0.84|1.5|2.1|2.1|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
2|2021/08/21|08/21/2021 10:00:00|08/21/2021 15:00:00|08/21/2021 16:00:00|08/21/2021 17:00:00|08/21/2021 17:00:00|Man City vs Norwich|Etihad Stadium|Man City|5|2.37|0|0.03|Norwich|91.64|60.67|0.8281|0.1263|0.0455|2.59|0.46|2.12|0.08|4.89|0.0|2022-04-22 18:00:03|REGULAR_SEASON|FULL_TIME|
