Match Day|MatchDate|Match Time(EST)|Match Time(WET)|Match Time(CET)|Match Time(EET)|Match Time(MSK)|Fixture|Stadium|Home Team|Home Goal|Home xg|Away Goal|Away xg|Away Team|Home SPI|Away SPI|Win Prob|Tie Prob|Loss Prob|Home Projected Goal|Away Projected Goal|Home nsxg|Away nsxg|Home Adjusted Goal|Away Adjusted Goal|Last Update Time|Stage|Status|State
21|2022/01/20|01/19/2022 20:00:00|01/20/2022 01:00:00|01/20/2022 02:00:00|01/20/2022 03:00:00|01/20/2022 04:00:00|FC Barcelona vs Rayo Vallecano|Camp Nou|FC Barcelona|none||none||Rayo Vallecano|81.33|68.66|0.6372|0.2246|0.1382|1.92|0.76|||||2022-02-14 22:30:17|REGULAR_SEASON|POSTPONED|
1|2021/08/13|08/13/2021 15:00:00|08/13/2021 20:00:00|08/13/2021 21:00:00|08/13/2021 22:00:00|08/13/2021 22:00:00|Valencia CF vs Getafe CF|Mestalla|Valencia CF|1|1.56|0|1.3|Getafe CF|66.96|70.83|0.4058|0.2963|0.2978|1.27|1.04|0.49|2.45|1.05|0.0|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 13:30:00|08/14/2021 18:30:00|08/14/2021 19:30:00|08/14/2021 20:30:00|08/14/2021 20:30:00|Cádiz CF vs Levante UD|Nuevo Mirandilla|Cádiz CF|1|1.04|1|0.92|Levante UD|56.59|63.18|0.372|0.2773|0.3507|1.34|1.29|0.63|0.6|1.05|1.05|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 13:30:00|08/14/2021 18:30:00|08/14/2021 19:30:00|08/14/2021 20:30:00|08/14/2021 20:30:00|RCD Mallorca vs Real Betis|Visit Mallorca Estadi|RCD Mallorca|1|0.45|1|0.94|Real Betis|61.55|72.38|0.3158|0.2776|0.4066|1.2|1.4|0.2|1.73|1.05|1.05|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 16:00:00|08/14/2021 21:00:00|08/14/2021 22:00:00|08/14/2021 23:00:00|08/14/2021 23:00:00|CA Osasuna vs RCD Espanyol|El Sadar|CA Osasuna|0|0.68|0|0.59|RCD Espanyol|65.11|62.87|0.4493|0.2797|0.271|1.44|1.05|1.8|0.79|0.0|0.0|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/14|08/14/2021 16:00:00|08/14/2021 21:00:00|08/14/2021 22:00:00|08/14/2021 23:00:00|08/14/2021 23:00:00|D. Alavés vs Real Madrid|Mendizorroza|D. Alavés|1|1.44|4|2.23|Real Madrid|63.98|86.82|0.1632|0.2219|0.6149|0.92|2.0|0.67|2.52|1.05|3.68|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/15|08/15/2021 11:30:00|08/15/2021 16:30:00|08/15/2021 17:30:00|08/15/2021 18:30:00|08/15/2021 18:30:00|RC Celta vs Atlético de Madrid|Balaídos|RC Celta|1|1.82|2|1.71|Atlético de Madrid|69.08|85.08|0.2292|0.2444|0.5264|1.12|1.81|0.54|0.91|1.05|2.1|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/15|08/15/2021 14:00:00|08/15/2021 19:00:00|08/15/2021 20:00:00|08/15/2021 21:00:00|08/15/2021 21:00:00|FC Barcelona vs Real Sociedad|Camp Nou|FC Barcelona|4|2.98|2|0.95|Real Sociedad|88.81|78.39|0.6376|0.1995|0.1628|2.31|1.09|1.54|0.66|3.68|2.1|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/15|08/15/2021 16:15:00|08/15/2021 21:15:00|08/15/2021 22:15:00|08/15/2021 23:15:00|08/15/2021 23:15:00|Sevilla FC vs Rayo Vallecano|Ramón Sánchez-Pizjuán|Sevilla FC|3|3.42|0|0.45|Rayo Vallecano|79.14|60.73|0.6585|0.2188|0.1227|1.94|0.69|1.99|0.29|2.34|0.0|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/16|08/16/2021 14:00:00|08/16/2021 19:00:00|08/16/2021 20:00:00|08/16/2021 21:00:00|08/16/2021 21:00:00|Villarreal CF vs Granada CF|Estadio de la Cerámica|Villarreal CF|0|1.33|0|0.28|Granada CF|76.45|61.46|0.621|0.2273|0.1516|1.92|0.82|1.26|0.98|0.0|0.0|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
1|2021/08/16|08/16/2021 16:00:00|08/16/2021 21:00:00|08/16/2021 22:00:00|08/16/2021 23:00:00|08/16/2021 23:00:00|Elche CF vs Athletic Club|Martínez Valero|Elche CF|0|0.85|0|0.73|Athletic Club|58.77|70.68|0.3187|0.294|0.3873|1.11|1.25|0.95|0.94|0.0|0.0|2022-02-14 22:30:17|REGULAR_SEASON|FULL_TIME|
