Match Day|MatchDate|Match Time(EST)|Match Time(WET)|Match Time(CET)|Match Time(EET)|Match Time(MSK)|Fixture|Stadium|Home Team|Home Goal|Home xg|Away Goal|Away xg|Away Team|Home SPI|Away SPI|Win Prob|Tie Prob|Loss Prob|Home Projected Goal|Away Projected Goal|Home nsxg|Away nsxg|Home Adjusted Goal|Away Adjusted Goal|Last Update Time|Stage|Status|State
1|2021/08/06|08/06/2021 15:00:00|08/06/2021 20:00:00|08/06/2021 21:00:00|08/06/2021 22:00:00|08/06/2021 22:00:00|AS Monaco vs FC Nantes|Stade Louis II|AS Monaco|1|1.82|1|0.24|FC Nantes|74.86|56.6|0.6355|0.2191|0.1454|1.93|0.79|2.18|0.56|1.05|1.05|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 11:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 18:00:00|08/07/2021 18:00:00|Olympique Lyonnais vs Stade Brestois 29|Groupama Stadium|Olympique Lyonnais|1|1.17|1|1.24|Stade Brestois 29|73.55|53.77|0.6602|0.1943|0.1455|2.25|0.95|1.32|1.13|1.05|1.05|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 15:00:00|08/07/2021 20:00:00|08/07/2021 21:00:00|08/07/2021 22:00:00|08/07/2021 22:00:00|ESTAC Troyes vs Paris Saint-Germain|Stade de l'Aube|ESTAC Troyes|1|0.7|2|1.64|Paris Saint-Germain|51.01|86.74|0.1028|0.1612|0.736|0.86|2.56|1.22|2.51|1.05|2.1|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 07:00:00|08/08/2021 12:00:00|08/08/2021 13:00:00|08/08/2021 14:00:00|08/08/2021 14:00:00|Stade Rennais FC vs RC Lens|Roazhon Park|Stade Rennais FC|1|0.54|1|2.36|RC Lens|66.61|57.82|0.5211|0.2604|0.2186|1.58|0.93|0.78|1.01|1.05|1.05|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 09:00:00|08/08/2021 14:00:00|08/08/2021 15:00:00|08/08/2021 16:00:00|08/08/2021 16:00:00|AS Saint-Étienne vs FC Lorient|Stade Geoffroy-Guichard|AS Saint-Étienne|1|1.97|1|1.08|FC Lorient|57.32|53.91|0.4637|0.2694|0.2669|1.48|1.05|1.51|1.18|1.05|1.05|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 09:00:00|08/08/2021 14:00:00|08/08/2021 15:00:00|08/08/2021 16:00:00|08/08/2021 16:00:00|FC Girondins de Bordeaux vs Clermont Foot 63|Matmut Atlantique|FC Girondins de Bordeaux|0|0.58|2|3.11|Clermont Foot 63|52.82|50.14|0.4589|0.2672|0.2739|1.49|1.09|0.89|1.66|0.0|1.58|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 09:00:00|08/08/2021 14:00:00|08/08/2021 15:00:00|08/08/2021 16:00:00|08/08/2021 16:00:00|OGC Nice vs Stade de Reims|Allianz Riviera|OGC Nice|0|0.97|0|0.2|Stade de Reims|58.34|50.01|0.5221|0.2619|0.216|1.57|0.91|1.66|0.57|0.0|0.0|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 09:00:00|08/08/2021 14:00:00|08/08/2021 15:00:00|08/08/2021 16:00:00|08/08/2021 16:00:00|RC Strasbourg Alsace vs Angers SCO|Stade de la Meinau|RC Strasbourg Alsace|0|0.31|2|1.32|Angers SCO|59.33|53.36|0.492|0.2761|0.2318|1.44|0.9|0.8|0.73|0.0|1.82|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 11:00:00|08/08/2021 16:00:00|08/08/2021 17:00:00|08/08/2021 18:00:00|08/08/2021 18:00:00|FC Metz vs LOSC Lille|Stade Saint-Symphorien|FC Metz|3|0.99|3|1.51|LOSC Lille|52.81|71.73|0.2441|0.2882|0.4678|0.89|1.34|0.73|1.88|3.15|2.73|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 14:45:00|08/08/2021 19:45:00|08/08/2021 20:45:00|08/08/2021 21:45:00|08/08/2021 21:45:00|Montpellier HSC vs Olympique de Marseille|Stade de la Mosson|Montpellier HSC|2|0.51|3|2.38|Olympique de Marseille|54.9|63.55|0.3534|0.2516|0.395|1.44|1.54|0.62|2.33|2.1|3.15|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
2|2021/08/13|08/13/2021 15:00:00|08/13/2021 20:00:00|08/13/2021 21:00:00|08/13/2021 22:00:00|08/13/2021 22:00:00|FC Lorient vs AS Monaco|Stade du Moustoir|FC Lorient|1|0.79|0|1.04|AS Monaco|53.92|74.88|0.2039|0.2386|0.5575|0.99|1.8|0.6|2.11|1.05|0.0|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 11:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 18:00:00|08/14/2021 18:00:00|LOSC Lille vs OGC Nice|Stade Pierre-Mauroy|LOSC Lille|0|0.88|4|2.47|OGC Nice|71.27|58.59|0.5983|0.245|0.1567|1.69|0.73|1.45|0.79|0.0|4.2|2022-05-26 23:11:50|REGULAR_SEASON|FULL_TIME|
