Match Day,MatchDate,Match Time(EST),Match Time(WET),Match Time(CET),Match Time(EET),Match Time(MSK),Fixture,Stadium,Home Team,Home Goal,Home xg,Away Goal,Away xg,Away Team,Home SPI,Away SPI,Win Prob,Tie Prob,Loss Prob,Home Projected Goal,Away Projected Goal,Home nsxg,Away nsxg,Home Adjusted Goal,Away Adjusted Goal,Last Update Time,Stage,Status,State
1,2021/08/13,08/13/2021 14:30:00,08/13/2021 19:30:00,08/13/2021 20:30:00,08/13/2021 21:30:00,08/13/2021 21:30:00,Borussia Mönchengladbach vs FC Bayern München,Borussia-Park,Borussia Mönchengladbach,1,2.06,1,3.26,FC Bayern München,73.02,90.88,0.1775,0.195,0.6275,1.22,2.41,1.81,3.04,1.05,1.05,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/14,08/14/2021 09:30:00,08/14/2021 14:30:00,08/14/2021 15:30:00,08/14/2021 16:30:00,08/14/2021 16:30:00,1. FC Union Berlin vs Bayer 04 Leverkusen,An der alten Försterei,1. FC Union Berlin,1,0.49,1,0.85,Bayer 04 Leverkusen,66.9,74.96,0.3049,0.2829,0.4123,1.12,1.35,1.13,1.62,1.05,1.05,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/14,08/14/2021 09:30:00,08/14/2021 14:30:00,08/14/2021 15:30:00,08/14/2021 16:30:00,08/14/2021 16:30:00,DSC Arminia Bielefeld vs Sport-Club Freiburg,SchücoArena,DSC Arminia Bielefeld,0,0.6,0,1.62,Sport-Club Freiburg,60.69,65.65,0.3621,0.2938,0.3441,1.19,1.16,0.85,1.39,0.0,0.0,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/14,08/14/2021 09:30:00,08/14/2021 14:30:00,08/14/2021 15:30:00,08/14/2021 16:30:00,08/14/2021 16:30:00,FC Augsburg vs TSG Hoffenheim,WWK Arena,FC Augsburg,0,0.72,4,3.11,TSG Hoffenheim,59.26,69.8,0.3076,0.2682,0.4242,1.23,1.48,1.55,1.43,0.0,3.02,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/14,08/14/2021 09:30:00,08/14/2021 14:30:00,08/14/2021 15:30:00,08/14/2021 16:30:00,08/14/2021 16:30:00,VfB Stuttgart vs SpVgg Greuther Fürth,Mercedes-Benz Arena,VfB Stuttgart,5,4.29,1,1.19,SpVgg Greuther Fürth,65.27,58.51,0.4894,0.2677,0.2429,1.55,1.01,3.18,0.71,5.11,1.05,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/14,08/14/2021 09:30:00,08/14/2021 14:30:00,08/14/2021 15:30:00,08/14/2021 16:30:00,08/14/2021 16:30:00,VfL Wolfsburg vs VfL Bochum 1848,Volkswagen Arena,VfL Wolfsburg,1,2.47,0,0.29,VfL Bochum 1848,75.72,58.9,0.6159,0.2392,0.1449,1.77,0.72,1.75,0.6,0.84,0.0,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/14,08/14/2021 12:30:00,08/14/2021 17:30:00,08/14/2021 18:30:00,08/14/2021 19:30:00,08/14/2021 19:30:00,Borussia Dortmund vs Eintracht Frankfurt,SIGNAL IDUNA PARK,Borussia Dortmund,5,3.1,2,1.61,Eintracht Frankfurt,83.68,71.59,0.6018,0.2092,0.189,2.21,1.17,2.33,0.75,5.25,2.1,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/15,08/15/2021 09:30:00,08/15/2021 14:30:00,08/15/2021 15:30:00,08/15/2021 16:30:00,08/15/2021 16:30:00,1. FSV Mainz 05 vs RB Leipzig,MEWA ARENA,1. FSV Mainz 05,1,1.04,0,0.92,RB Leipzig,67.01,84.47,0.2052,0.2461,0.5487,0.98,1.76,0.79,1.96,1.05,0.0,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
1,2021/08/15,08/15/2021 11:30:00,08/15/2021 16:30:00,08/15/2021 17:30:00,08/15/2021 18:30:00,08/15/2021 18:30:00,1. FC Köln vs Hertha Berlin,RheinEnergieStadion,1. FC Köln,3,1.62,1,1.69,Hertha Berlin,61.8,65.96,0.3854,0.2885,0.3261,1.27,1.15,1.8,1.38,3.15,1.05,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
2,2021/08/20,08/20/2021 14:30:00,08/20/2021 19:30:00,08/20/2021 20:30:00,08/20/2021 21:30:00,08/20/2021 21:30:00,RB Leipzig vs VfB Stuttgart,Red Bull Arena,RB Leipzig,4,3.04,0,1.1,VfB Stuttgart,84.03,67.66,0.6437,0.2099,0.1464,2.09,0.88,2.64,0.73,4.2,0.0,2022-02-13 11:05:25,REGULAR_SEASON,FULL_TIME,
