Match Day|MatchDate|Match Time(EST)|Match Time(WET)|Match Time(CET)|Match Time(EET)|Match Time(MSK)|Fixture|Stadium|Home Team|Home Goal|Home xg|Away Goal|Away xg|Away Team|Home SPI|Away SPI|Win Prob|Tie Prob|Loss Prob|Home Projected Goal|Away Projected Goal|Home nsxg|Away nsxg|Home Adjusted Goal|Away Adjusted Goal|Last Update Time|Stage|Status|State
1|2021/08/21|08/21/2021 12:30:00|08/21/2021 17:30:00|08/21/2021 18:30:00|08/21/2021 19:30:00|08/21/2021 19:30:00|Hellas Verona vs Sassuolo|Marcantonio Bentegodi|Hellas Verona|2|2.33|3|1.72|Sassuolo|58.67|67.49|0.3046|0.2664|0.429|1.18|1.45|1.75|1.34|2.1|2.59|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/21|08/21/2021 12:30:00|08/21/2021 17:30:00|08/21/2021 18:30:00|08/21/2021 19:30:00|08/21/2021 19:30:00|Inter vs Genoa|Giuseppe Meazza|Inter|4|2.11|0|1.02|Genoa|83.28|55.31|0.7513|0.1662|0.0825|2.33|0.63|2.33|1.27|3.67|0.0|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/21|08/21/2021 14:45:00|08/21/2021 19:45:00|08/21/2021 20:45:00|08/21/2021 21:45:00|08/21/2021 21:45:00|Empoli vs Lazio|Carlo Castellani|Empoli|1|1.24|3|1.64|Lazio|52.81|71.02|0.2262|0.2478|0.526|1.02|1.69|1.6|2.35|1.05|3.15|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/21|08/21/2021 14:45:00|08/21/2021 19:45:00|08/21/2021 20:45:00|08/21/2021 21:45:00|08/21/2021 21:45:00|Torino vs Atalanta|Olimpico Grande Torino|Torino|1|1.01|2|0.96|Atalanta|57.6|80.09|0.1697|0.2111|0.6193|0.98|2.07|1.21|0.9|1.05|2.1|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/22|08/22/2021 12:30:00|08/22/2021 17:30:00|08/22/2021 18:30:00|08/22/2021 19:30:00|08/22/2021 19:30:00|Bologna vs Salernitana|Renato Dall'Ara|Bologna|3|1.69|2|1.55|Salernitana|58.51|51.17|0.4868|0.2596|0.2537|1.57|1.06|1.55|0.83|3.15|2.1|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/22|08/22/2021 12:30:00|08/22/2021 17:30:00|08/22/2021 18:30:00|08/22/2021 19:30:00|08/22/2021 19:30:00|Udinese vs Juventus|Dacia Arena|Udinese|2|2.13|2|1.67|Juventus|55.71|81.81|0.1413|0.2|0.6587|0.88|2.14|0.54|1.54|2.1|2.1|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/22|08/22/2021 14:45:00|08/22/2021 19:45:00|08/22/2021 20:45:00|08/22/2021 21:45:00|08/22/2021 21:45:00|Napoli vs Venezia|Diego Armando Maradona|Napoli|2|2.52|0|0.68|Venezia|78.37|52.16|0.7183|0.1849|0.0967|2.16|0.64|0.92|0.76|2.05|0.0|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/22|08/22/2021 14:45:00|08/22/2021 19:45:00|08/22/2021 20:45:00|08/22/2021 21:45:00|08/22/2021 21:45:00|Roma vs Fiorentina|Olimpico|Roma|3|2.46|1|0.95|Fiorentina|71.62|61.32|0.5568|0.2375|0.2056|1.8|1.0|1.33|1.43|2.71|1.05|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/23|08/23/2021 12:30:00|08/23/2021 17:30:00|08/23/2021 18:30:00|08/23/2021 19:30:00|08/23/2021 19:30:00|Cagliari vs Spezia|Unipol Domus|Cagliari|2|3.4|2|0.97|Spezia|59.58|54.54|0.4476|0.2632|0.2892|1.5|1.16|2.36|0.75|2.1|2.1|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
1|2021/08/23|08/23/2021 14:45:00|08/23/2021 19:45:00|08/23/2021 20:45:00|08/23/2021 21:45:00|08/23/2021 21:45:00|Sampdoria vs Milan|Luigi Ferraris|Sampdoria|0|1.41|1|0.83|Milan|60.32|77.11|0.2121|0.2425|0.5454|1.0|1.75|1.14|1.17|0.0|1.05|2022-02-13 11:05:27|REGULAR_SEASON|FULL_TIME|
